1	箭雨	0	0	0	0	0	0	0	0	
2	冰箭	0	0	0	0	0	0	0	0	
3	孙武后人	0	0	0	0	0	0	0	0	
4	步兵体形普攻	1.08	0.72	0	0.36	0	0	0	0	
5	骑兵体形普攻	1.84	1	0	0.84	0	0	0	0	
6	弓兵体形普射	2.04	1.4	0	0.64	0	0	0	1	
7	谋士体形普攻	0	0	0	0	0	0	0	0	
8	枪兵体形普攻	0	0	0	0	0	0	0	0	
11	许褚体形普攻	1.56	0.88	0	0.68	0	0	0	0	
12	弓兵体形普攻	2.04	1.24	0	0.8	0	0	0	0	
201	步兵横扫	0.92	0.56000000000000005	0	0.36	0	0	0	0	
202	步兵劈砍	1.08	0.72	0	0.36	0	0	0	0	
203	步兵向前投掷	1.4	0.76	0	0.64	0	0	0	0	
204	步兵防御	1.08	0	0	0	0	0	0	0	
301	管亥劈砍	1.6	1.08	0	0.52	0	0	0	0	
302	管亥横扫	1.48	1.1200000000000001	0	0.36	0	0	0	0	
303	管亥震地	1.52	1	0	0.52	0	0	0	0	
304	管亥乱锤	2.88	1.08	0	1.8	0	0	0	0	
305	管亥爆发	1.76	0	0	0	0	0	0	0	
306	管亥投掷	2.2799999999999998	1.28	0	1	0	0	0	0	
307	管亥防御	1.4	0	0	0	0	0	0	0	
401	贾诩召唤旋风	2.84	0	0	0	0	0	0	0	
402	贾诩投掷炸弹	2.04	0	0	0	0	0	0	0	
403	贾诩劈砍	1.56	0.68	0	0.88	0	0	0	0	
404	贾诩爆发	3.32	0	0	0	0	0	0	0	
405	贾诩防御	1.64	0	0	0	0	0	0	0	
501	弓兵平射	2.04	1.4	0	5	0	0	0	1	
502	弓兵抛射	2.08	1.4	0	5	0	0	0	1	
503	弓兵劈砍	2.04	1.24	0	0.8	0	0	0	0	
504	弓兵防御	2.12	0	0	0	0	0	0	0	
601	男主劈砍	1.56	1.08	0	0.48	0	0	0	0	
602	男主挑击	1.4	0.84	0	0.56000000000000005	0	0	0	0	
603	男主突刺	3	0.92	0.72	1.36	0	0	0	0	
604	男主向后劈砍	1.76	1.1200000000000001	0	0.64	0	0	0	0	
605	男主横扫1	1.68	0.96	0	0.72	0	0	0	0	
606	男主横扫2	1.6	0.96	0	0.64	0	0	0	0	
607	男主挥舞	3	0.92	0	2.08	0	0	0	0	
608	男主爆发	1.72	0	0	0	0	0	0	0	
609	男主向前投掷	2.2000000000000002	0.8	0	1.4	0	0	0	0	
610	男主向后投掷	2.16	1	0	1.1599999999999999	0	0	0	0	
611	男主防御	1.84	0	0	0	0	0	0	0	
612	男主向后防御	1.92	0	0	0	0	0	0	0	
701	女主劈砍	1.56	1.08	0	0.48	0	0	0	0	
702	女主挑击	1.4	0.84	0	0.56000000000000005	0	0	0	0	
703	女主突刺	3	0.92	0.72	1.36	0	0	0	0	
704	女主向后劈砍	1.76	1.1200000000000001	0	0.64	0	0	0	0	
705	女主横扫1	1.68	0.96	0	0.72	0	0	0	0	
706	女主横扫2	1.6	0.96	0	0.64	0	0	0	0	
707	女主挥舞	3	0.92	0	2.08	0	0	0	0	
708	女主爆发	1.72	0	0	0	0	0	0	0	
709	女主向前投掷	2.2000000000000002	0	0	0	0	0	0	0	
710	女主向后投掷	2.16	0	0	0	0	0	0	0	
711	女主防御	1.84	0	0	0	0	0	0	0	
712	女主向后防御	1.92	0	0	0	0	0	0	0	
801	吕玲绮劈砍	1.56	0.96	0	0.6	0	0	0	0	
802	吕玲绮挑击	1.56	0.96	0	0.6	0	0	0	0	
803	吕玲绮横扫1	0.96	0.6	0	0.36	0	0	0	0	
804	吕玲绮横扫2	1.1200000000000001	0.72	0	0.4	0	0	0	0	
805	吕玲绮快攻	1.92	0	0	0	0	0	0	0	
806	吕玲绮爆发	3.2	1.96	0	1.24	0	0	0	0	
807	吕玲绮向前投掷	1.84	0	0	0	0	0	0	0	
808	吕玲绮向上投掷	1.88	0	0	0	0	0	0	0	
809	吕玲绮防御	1.72	0	0	0	0	0	0	0	
901	骑兵劈砍	2.2400000000000002	1.2	0	1.04	0	0	0	0	
902	骑兵后劈砍	2.16	1.08	0	1.08	0	0	0	0	
903	骑兵横扫1	1.84	1	0	0.84	0	0	0	0	
904	骑兵投掷	2.3199999999999998	1.1200000000000001	0	1.2	0	0	0	0	
905	骑兵防御	2.36	0	0	0	0	0	0	0	
906	骑兵向后防御	2.4	0	0	0	0	0	0	0	
1001	徐晃平射	1	0.44	0	5	0	0	0	1	
1002	徐晃抛射	1.44	0.88	0	5	0	0	0	1	
1003	徐晃快射	2.3199999999999998	0.92	0	1.4	0	0	0	0	
1004	徐晃蓄力射击	1.56	1.2	0	0.36	0	0	0	0	
1005	徐晃劈砍	1.6	0.88	0	0.72	0	0	0	0	
1006	徐晃爆发	2.16	1.68	0	0.48	0	0	0	0	
1007	徐晃防御	1.64	0	0	0	0	0	0	0	
1101	张飞劈砍	1.76	0.88	0	0.88	0	0	0	0	
1102	张飞挑击	1.36	0.8	0	0.56000000000000005	0	0	0	0	
1103	张飞突刺	1.48	0.88	0	0.6	0	0	0	0	
1104	张飞脚踢	1	0.52	0	0.48	0	0	0	0	
1105	张飞快攻	2	0.68	0	1.32	0	0	0	0	
1106	张飞爆发	2.2000000000000002	1.64	0	0.56000000000000005	0	0	0	0	
1107	张飞向前投掷	1.84	1.1599999999999999	0	0.68	0	0	0	0	
1108	张飞防御	1.6	0	0	0	0	0	0	0	
1201	张梁劈砍	1.56	0.6	0	0.96	0	0	0	0	
1202	张梁快攻	1.08	0.48	0	0.6	0	0	0	0	
1203	张梁横扫1	0.84	0.52	0	0.32	0	0	0	0	
1204	张梁横扫2	0.76	0.56000000000000005	0	0.2	0	0	0	0	
1205	张梁后劈砍	0.92	0.6	0	0.32	0	0	0	0	
1206	张梁挥舞	3	0.52	0	2.48	0	0	0	0	
1207	张梁爆发	1.72	0	0	0	0	0	0	0	
1208	张梁向前投掷	2	0.88	0	1.1200000000000001	0	0	0	0	
1209	张梁向后投掷	1.64	0.76	0	0.88	0	0	0	0	
1210	张梁防御	1.08	0	0	0	0	0	0	0	
1211	张梁向后防御	1.4	0	0	0	0	0	0	0	
1301	甄姬平射	1.24	0.64	0	5	0	0	0	1	
1302	甄姬抛射	1.48	0.88	0	5	0	0	0	1	
1303	甄姬快射	2.44	0.96	0	1.48	0	0	0	0	
1304	甄姬蓄力射击	1.92	1.24	0	0.68	0	0	0	0	
1305	甄姬劈砍	1.6	0.8	0	0.8	0	0	0	0	
1306	甄姬爆发	2.12	1.52	0	0.6	0	0	0	0	
1307	甄姬防御	1.92	0	0	0	0	0	0	0	
10101	飞翔剑	24	0	0	0.64	2.2400000000000002	100	1	-1	
10102	0	24	0	0	0	0	0	1	0	
10103	0	24	0	0	0	0	0	1	0	
10104	0	24	0	0	0	0	0	1	0	
10105	0	24	0	0	0	0	0	1	0	
10106	0	24	0	0	0	0	0	1	0	
10107	0	24	0	0	0	0	0	1	0	
10108	0	24	0	0	0	0	0	1	0	
10109	0	24	0	0	0	0	0	1	0	
10201	千军破(赵云体现专用)	24	0	0	0	2.2400000000000002	100	1	-1	
10202	0	24	0	0	0	0	0	1	0	
10203	0	24	0	0	0	0	0	1	0	
10204	0	24	0	0	0	0	0	1	0	
10205	0	24	0	0	0	0	0	1	0	
10206	0	24	0	0	0	0	0	1	0	
10207	0	24	0	0	0	0	0	1	0	
10208	0	24	0	0	0	0	0	1	0	
10209	0	24	0	0	0	0	0	1	0	
10301	火牛阵	24	0	0	0.64	2.2400000000000002	100	1	-1	
10302	0	24	0	0	0	0	0	1	0	
10303	0	24	0	0	0	0	0	1	0	
10304	0	24	0	0	0	0	0	1	0	
10305	0	24	0	0	0	0	0	1	0	
10306	0	24	0	0	0	0	0	1	0	
10307	0	24	0	0	0	0	0	1	0	
10308	0	24	0	0	0	0	0	1	0	
10309	0	24	0	0	0	0	0	1	0	
10401	开山震	24	0	0	0	0	0	1	0	
10402	0	24	0	0	0	0	0	1	0	
10403	0	24	0	0	0	0	0	1	0	
10404	0	24	0	0	0	0	0	1	0	
10405	0	24	0	0	0	0	0	1	0	
10406	0	24	0	0	0	0	0	1	0	
10407	0	24	0	0	0	0	0	1	0	
10408	0	24	0	0	0	0	0	1	0	
10409	0	24	0	0	0	0	0	1	0	
10501	金刚甲	24	0	0	0.64	2.2400000000000002	100	1	-1	
10502	0	24	0	0	0	0	0	1	0	
10503	0	24	0	0	0	0	0	1	0	
10504	0	24	0	0	0	0	0	1	0	
10505	0	24	0	0	0	0	0	1	0	
10506	0	24	0	0	0	0	0	1	0	
10507	0	24	0	0	0	0	0	1	0	
10508	0	24	0	0	0	0	0	1	0	
10509	0	24	0	0	0	0	0	1	0	
10601	龙蛇斩	24	0	0	0.64	2.2400000000000002	100	1	-1	
10602	0	24	0	0	0	0	0	1	0	
10603	0	24	0	0	0	0	0	1	0	
